issueKey;title;resolution;status;assignee;createdDateEpoch;resolvedDateEpoch;type;attachments;brokenBy;description;comments;
BCEL-2;[BCEL-2] constant pool does not have unused entries removed after calling getFinalConstantPool;Won't Fix;Resolved;Apache Commons Developers;1021893930000;1100631939000;Bug;[];[];[I have been trying to use the BCEL api to work out which methods and fields in a collection of java class files are unused and can be removed. This was relatively easy. Unfortunately when using the BCEL api to actually remove methods and fields it would appear that the constant pool is left unaltered by this removal procedure. I.e. the names of fields and methods which now no longer exist are still apparent in the constant pool. I had assumed that assigning the result of calling getFinalConstantPool to be the java classes new constant pool would do this. It does not];[This is due to the fact that it would impose reordering the whole constant pool which is out of the scope of the API. To many places may reference CP entries which are sometimes hard to find. There are however tools based on BCEL that will do this for you, in particular JOpt, the URL is on the project page.];
BCEL-3;[BCEL-3] ClassLoader missing in distributed jar;Fixed;Resolved;Apache Commons Developers;1022071543000;1100631939000;Bug;[];[];[The classfile for the class org.apache.bcel.util.ClassLoader is missing from the distributed bcel.jar file in http://jakarta.apache.org/builds/jakarta-bcel/release/v5.0rc1/bcel-5.0rc1.tar.gz Output of jar -tf bcel.jar | grep util : org/apache/bcel/util/org/apache/bcel/util/ClassPath.classorg/apache/bcel/util/ClassPath$1.classorg/apache/bcel/util/ClassPath$2.classorg/apache/bcel/util/ClassPath$3.classorg/apache/bcel/util/ClassPath$PathEntry.classorg/apache/bcel/util/ClassPath$ClassFile.classorg/apache/bcel/util/ClassPath$Dir.classorg/apache/bcel/util/ClassPath$Zip.classorg/apache/bcel/util/ByteSequence.classorg/apache/bcel/util/ByteSequence$ByteArrayStream.classorg/apache/bcel/util/ClassVector.classorg/apache/bcel/util/ClassQueue.classorg/apache/bcel/util/AttributeHTML.classorg/apache/bcel/util/ConstantHTML.class];[];
BCEL-4;[BCEL-4] Pass3b Verifier is corrupted;Fixed;Resolved;Apache Commons Developers;1025145450000;1111338372000;Bug;[];[];[The Repostiroty method public static boolean implementationOf(JavaClass clazz, JavaClass inter). Isn't working correctly. Therefore the Cast checks performed in the Pass3b verifier are wrong. With this simple program the verifcation fails. (tested with jdk1.4.0 W32) <code> class A implements B{ static C temp. public static void main(String[] args) { temp = new A(). } } interface B extends C{ } interface C{ } </code> The reason is simple. Interfaces are checked only directly. Interfaces inherited indirectly are forgotten. There is another version of this bug, where even direct implemented interfaces are not recognized, but i wasn't able to reduce it to a simple example.];[This is not a "simple" bug. Interfaces implemented directly are NOT forgotten. import org.apache.bcel.*.import org.apache.bcel.classfile.*.public class Test {    public static void main(String[] args) {        JavaClass a = Repository.lookupClass("A").        JavaClass c = Repository.lookupClass("B").        System.out.println(a.implementationOf(c)).    }} This program prints "true". and JavaClass.implementationOf() is what the static Repository methods are mapped to. The original test program lets the VERIFIER fail, it has a bug in its pass 3b implementation: Pass 3b, method number 0 ['void <init>()']:VERIFIED_REJECTEDConstraint violated in method 'void <init>()':Instruction INVOKESPECIAL constraint violated: The 'objref' item '<UNINITIALIZED OBJECT OF TYPE 'A'>' does not implement 'java.lang.Object' as expected.InstructionHandle:    1: invokespecial[183](3) 1Execution Frame:Local Variables:0: <UNINITIALIZED OBJECT OF TYPE 'A'>OperandStack:Slots used: 1MaxStack: 1.<UNINITIALIZED OBJECT OF TYPE 'A'> (Size: 1)Execution flow:   0: aload_0   [InstructionContext]   1: invokespecial 1   [InstructionContext] Problem is that the JVM spec 4.9.4 mentions UNINITIALIZED objects as a special type, and this type indeed does not implement any interfaces. JavaClass.instanceOf(JavaClass) is broken. This bug has been marked as a duplicate of 10490 *** That's not the complete truth. The reason for this bug can be easily located. Repository#getInterfaces replace: if(clazz.isInterface()) vec.addElement(clazz). else if(!s.equals("java.lang.Object")) queue.enqueue(lookupClass(s)). with: if(clazz.isInterface()) vec.addElement(clazz). if(!s.equals("java.lang.Object")) queue.enqueue(lookupClass(s)). and everything will work fine. The reason is simple if an interface extends another interface this interface is forgotten. As in the given example B extends C so C will not occure in the interface[] simply because B.superClass will not be added. I believe the problem is fixed in the current CVS version (05-Jul-2002) but it has another problem. see bug 10240. Argh, I meant BCEL-5 - NOT 10240. The actual CVS doesn't contain that bug anymore. so it will be fixed after 5.0];
BCEL-5;[BCEL-5] JavaClass.instanceOf(JavaClass) broken;Fixed;Resolved;Apache Commons Developers;1025824192000;1100631939000;Bug;[];[];[Consider: ------- import org.apache.bcel.*. import org.apache.bcel.classfile.*. public class Test{ public static void main(String[] args){ JavaClass a = Repository.lookupClass("Test"). System.out.println(a.instanceOf(Repository.lookupClass("java.lang.Object"))). } } ------- This fine program tells us "false", i.e. "Test" is not derived from "java.lang.Object". sigh];[BCEL-4 has been marked as a duplicate of this bug. *** The bug is in the CVS version of 05-Jul-2002, 13:00 CET. Peter Schneider <schneidp@lathanda.de> reports the Test.java program prints the correct "true" value on BCEL 5.0. Confirm: 5.0 did not have this bug. I located that bug. JavaClass#getSuperClass will never return java.lang.Object therefore getSuperClasses() doesn't contain java.lang.Object To fix it change getSuperclassName to getClassName public JavaClass getSuperClass() { if("java.lang.Object".equals(getSuperclassName())) {//<-------- return null. } This was fixed in r152813 on 2002-07-06 by mdahm];
BCEL-6;[BCEL-6] Repository#lookupClass no longer returns JavaClasses added with Repository#add;Fixed;Resolved;Apache Commons Developers;1025890668000;1100631939000;Bug;[];[];[This call is delegated to SyntheticRepostitory loadClass. This method doesn't check for loaded classes. This prevents memory only JavaClass's to be verified. Repository#add adds such JavaClass's to the loaded classes hash, but the validator only calls lookupClass. one of the two has to check for loaded classes, for two reasons. a) performance b) verifying classes hold in memory];[];
BCEL-7;[BCEL-7] NullPointerException in ClassLoader;Fixed;Resolved;Apache Commons Developers;1028104238000;1100631939000;Bug;[];[];[When trying to load an unknown class, a NullPointerException is thrown, but a ClassNotFoundException should be thrown. A patch for this is: Index: src/java/org/apache/bcel/util/ClassLoaderRepository.java===================================================================RCS file:/home/cvspublic/jakarta-bcel/src/java/org/apache/bcel/util/ClassLoaderRepository.java,vretrieving revision 1.2diff -r1.2 ClassLoaderRepository.java124a125,128>             if (is == null) {>                 throw new ClassNotFoundException( "Class not found." ).>             }>];[This was fixed in r152817 on 2002-07-31 by mdahm];
BCEL-8;[BCEL-8] Web-page link broken;Cannot Reproduce;Resolved;Apache Commons Developers;1028869687000;1100631939000;Bug;[];[];[The link to the API docs is broken. http://jakarta.apache.org/bcel/ contains a link Documentation=> API, which points to http://jakarta.apache.org/bcel/api/index.html but that doesn't exist.];[I cannot see that API link anywhere, and the "javadoc" link works. Maybe someone repaired this.];
BCEL-9;[BCEL-9] Broken link in Javadocs on site;Invalid;Resolved;Apache Commons Developers;1028870106000;1100631939000;Bug;[];[];[http://jakarta.apache.org/bcel/apidocs/org/apache/bcel/classfile/ClassParser.htm l contains a link "JavaClass" to http://jakarta.apache.org/bcel/apidocs/org/apache/bcel/classfile/org.apache.bcel .classfile.JavaClass.html But that file doesn't exist (the package name shouldn't be part of the filename)];[Not even the first link exists (any more?)];
BCEL-10;[BCEL-10] Typo in javadocs;Fixed;Resolved;Apache Commons Developers;1031824814000;1100631939000;Bug;[];[];[The PUTSTATIC instruction does not take an objref as parameter: Index: PUTSTATIC.java===================================================================RCS file:/home/cvspublic/jakarta-bcel/src/java/org/apache/bcel/generic/PUTSTATIC.java,vretrieving revision 1.1.1.1diff -u -r1.1.1.1 PUTSTATIC.java--- PUTSTATIC.java      29 Oct 2001 20:00:25 -0000      1.1.1.1+++ PUTSTATIC.java      12 Sep 2002 09:55:51 -0000@@ -59,9 +59,9 @@ /**  * PUTSTATIC - Put static field in class- * <PRE>Stack: ..., objectref, value -&gt. ...</PRE>+ * <PRE>Stack: ..., value -&gt. ...</PRE>  * OR- * <PRE>Stack: ..., objectref, value.word1, value.word2 -&gt. ...</PRE>+ * <PRE>Stack: ..., value.word1, value.word2 -&gt. ...</PRE>  *  * @version $Id: PUTSTATIC.java,v 1.1.1.1 2001/10/29 20:00:25 jvanzyl Exp $  * @author  <A HREF="mailto:markus.dahm@berlin.de">M. Dahm</A>];[This was fixed some time ago.];
BCEL-11;[BCEL-11] generic.LCMP lacks some interfaces;Fixed;Resolved;Apache Commons Developers;1039035011000;1100631939000;Bug;[lcmp-add-interface.txt];[];[see the attached file];[Attachment lcmp-add-interface.txt has been added with description: a patch which adds some interfaces to LCMP, like in {F,D} CMP {G,L} .java Fixed in r152843 (2002-12-08)];
