commitsSha;commitTs;commitComment;issueKey;issueOpen;issueClose;issueTitle
63919b288fe8ec5e9d0dac9e18b4a186acd76d63;2022-09-21T22:20:35.000+0900;bcel-363 enforce max_cp_entries in constantpoolgen and constantpool.dump #147;BCEL-363;2022-09-20T20:10:17.000+0900;2022-09-21T22:21:23.000+0900;[BCEL-363] ConstantPoolGen can generate constant pools that are too large
f3267cbcc900f80851d561bdd16b239d936947f5;2022-09-21T22:18:58.000+0900;bcel-363 enforce max_cp_entries in constantpoolgen and constantpool.dump (#147);BCEL-363;2022-09-20T20:10:17.000+0900;2022-09-21T22:21:23.000+0900;[BCEL-363] ConstantPoolGen can generate constant pools that are too large
f959849a37c8b08871cec6d6276ab152e6ed08ce;2020-06-02T08:01:40.000+0900;[bcel-339] throw illegalargumentexception, illegalstateexception, unsupportedoperationexception instead of runtimeexception.;BCEL-339;2020-06-02T08:00:24.000+0900;2020-06-02T08:02:13.000+0900;[BCEL-339] Throw IllegalArgumentException, IllegalStateException, UnsupportedOperationException instead of RuntimeException
bf06bdaec1aa40d2069bc72337f0105f7fdc1498;2020-06-02T07:25:22.000+0900;[bcel-338] org.apache.bcel.generic.instructionfactory.createinvoke() populates its internal constantpoolgen on bad input, then throws exception.;BCEL-338;2020-06-02T07:23:58.000+0900;2020-06-02T07:29:30.000+0900;[BCEL-338] org.apache.bcel.generic.InstructionFactory.createInvoke() populates its internal ConstantPoolGen on bad input, then throws exception
bed8f810c6a5fed63f22dfc4de780e46fc3683bb;2020-02-25T19:24:34.000+0900;javadoc fix for bcel-335 (#41);BCEL-335;2020-02-25T05:06:51.000+0900;2020-08-30T09:37:30.000+0900;[BCEL-335] Fix jdk 11 javadoc error
57142f1b2a99f1b691ba430a9cfef50ccd8a6cc0;2019-10-13T05:55:31.000+0900;fix bcel-329 attribute duplication (#34);BCEL-329;2019-10-12T02:22:08.000+0900;2020-08-30T09:36:23.000+0900;[BCEL-329] MethodGen duplicates some attributes
1d528f6cf7ea74db01a03d724f288dd97b2c3f35;2019-09-26T09:09:42.000+0900;[bcel-328] java.util.emptystackexception at org.apache.bcel.classfile.descendingvisitor.visitmodule (descendingvisitor.java:592).;BCEL-328;2019-09-26T09:08:44.000+0900;2019-09-26T09:10:53.000+0900;[BCEL-328] java.util.EmptyStackException at org.apache.bcel.classfile.DescendingVisitor.visitModule (DescendingVisitor.java:592)
4224c83d42502f37c781efe4108198b10f9075dd;2019-07-07T00:16:48.000+0900;[bcel-299] fix example src/examples/classdumper.java classdumper.processid().;BCEL-299;2017-11-04T22:03:25.000+0900;2019-07-07T03:50:19.000+0900;[BCEL-299] Fix example src/examples/ClassDumper.java ClassDumper.processID().
4d89da4f52f6ae26a4917ba79259e8c89c67eb77;2019-04-12T22:05:05.000+0900;[bcel-316] org.apache.bcel.classfile.attribute class and subclasses should not log to the console by default;BCEL-316;2019-04-12T22:02:44.000+0900;2019-04-12T22:05:54.000+0900;[BCEL-316] org.apache.bcel.classfile.Attribute class and subclasses should NOT log to the console by default
78f672a2c6bd6e21a731e982f8e495563280d7d9;2019-02-12T00:26:56.000+0900;[bcel-297] possible npe in override implementation of object.equals.;BCEL-297;2017-10-11T02:59:25.000+0900;2019-02-12T00:27:24.000+0900;[BCEL-297] Possible NPE in override implementation of Object.equals
45da20f49abafa125ff4f616e8312b89fbd1f139;2019-02-12T00:26:03.000+0900;[bcel-297] fix npe in bcelcomparator concrete implementations. (#20);BCEL-297;2017-10-11T02:59:25.000+0900;2019-02-12T00:27:24.000+0900;[BCEL-297] Possible NPE in override implementation of Object.equals
190dee5fa3b5374f95ae8b3673705802789ed0a7;2019-02-12T00:11:41.000+0900;[bcel-267] race conditions on static fields in branchhandle and (#23);BCEL-267;2015-09-30T05:12:42.000+0900;2019-02-12T00:23:15.000+0900;[BCEL-267] Race conditions on static fields in BranchHandle and InstructionHandle
a2da1049443db9db3e2c06cff58463fe6cddb978;2018-07-28T14:00:45.000+0900;[bcel-304] classpath.getclassfile does not work with java 9 and higher. sort.;BCEL-304;2018-07-18T03:53:36.000+0900;2018-07-28T14:01:57.000+0900;[BCEL-304] ClassPath.getClassFile() and friends do not work with JDK 9 and higher
bf30b1f2af61a37d8e1215e1af6022ede913dc2d;2018-07-28T14:00:21.000+0900;[bcel-304] classpath.getclassfile does not work with java 9 and higher.;BCEL-304;2018-07-18T03:53:36.000+0900;2018-07-28T14:01:57.000+0900;[BCEL-304] ClassPath.getClassFile() and friends do not work with JDK 9 and higher
4f30fa5358a7712bbaba7e25d97166d9b4a0f0a0;2017-10-17T05:34:31.000+0900;[bcel-295] fix local variable live range length. use less verbose code.;BCEL-295;2017-10-11T00:17:56.000+0900;2017-12-03T05:25:32.000+0900;[BCEL-295] Incorrect live range information in LocalVariableGen
d700649c1748cdec25ce871925d80a1356e3147b;2017-10-17T05:32:38.000+0900;[bcel-295] fix local variable live range length;BCEL-295;2017-10-11T00:17:56.000+0900;2017-12-03T05:25:32.000+0900;[BCEL-295] Incorrect live range information in LocalVariableGen
0d33e877b1642b1bb630415304b8d01de2ce427e;2017-10-17T05:32:13.000+0900;[bcel-295] fix local variable live range length;BCEL-295;2017-10-11T00:17:56.000+0900;2017-12-03T05:25:32.000+0900;[BCEL-295] Incorrect live range information in LocalVariableGen
